iter	F1	Logloss
0	0.7	0.6843618486
1	0.7081349617	0.6765530926
2	0.7063327815	0.6691802366
3	0.7097844113	0.6618748699
4	0.7073371805	0.6549631844
5	0.7073775573	0.6480092879
6	0.7077526582	0.6415214604
7	0.7092037229	0.6356689183
8	0.7087951932	0.630134995
9	0.7093432774	0.6241943491
10	0.7091831453	0.618723065
11	0.7087298304	0.6138799915
12	0.7090626618	0.6091554429
13	0.7094300518	0.6042902734
14	0.7095836362	0.5996696996
15	0.7091948052	0.5950024138
16	0.7093963908	0.5909726778
17	0.7092698084	0.5872951634
18	0.7083678542	0.5835552067
19	0.7078709945	0.5799332608
20	0.7079444099	0.5764122792
21	0.7088293137	0.5730530919
22	0.7089211618	0.5695257675
23	0.7086010363	0.5664056366
24	0.7087006118	0.5628047629
25	0.7089001973	0.5596362058
26	0.7084978184	0.5566770632
27	0.7093493826	0.5541267183
28	0.7092419522	0.5516608456
29	0.7084457356	0.5491254259
30	0.7086663207	0.5464550957
31	0.7088476299	0.5442091051
32	0.7089420785	0.542003868
33	0.7091097308	0.5400337366
34	0.7095972668	0.5378121533
35	0.7095637758	0.5357542577
36	0.7098311406	0.5338222426
37	0.7102784391	0.5318997991
38	0.7105862855	0.5300277493
39	0.7112676056	0.5280951818
40	0.7116360999	0.5262586677
41	0.7115623705	0.5244817557
42	0.7117695814	0.5230233994
43	0.7121243523	0.5216932278
44	0.7128056361	0.5199911213
45	0.7127317932	0.5182112447
46	0.7127317932	0.5168441964
47	0.7142117793	0.5156487726
48	0.7151277014	0.5142715198
49	0.7148619299	0.5131818922
50	0.7165289256	0.5118012253
51	0.7164826091	0.5103646358
52	0.7161003821	0.5092800416
53	0.7164980384	0.5080782093
54	0.7163347436	0.5068854019
55	0.7167630058	0.5056099955
56	0.7169227596	0.5046133289
57	0.7175100484	0.5035095262
58	0.7175100484	0.5023645366
59	0.7177743431	0.5012846969
60	0.7176107106	0.5004190506
61	0.7178166838	0.4994885319
62	0.7180489813	0.4985040699
63	0.7190618249	0.4975721094
64	0.7194244604	0.4966956036
65	0.7199178645	0.4958964386
66	0.7201806611	0.4949592002
67	0.7203694202	0.4943236868
68	0.7206486043	0.4934293599
69	0.7206893015	0.4929233212
70	0.7214358974	0.4920143396
71	0.7211400451	0.491100016
72	0.7219262295	0.4903020719
73	0.7227854583	0.4895570566
74	0.7228817028	0.4888266191
75	0.7230863692	0.4880140599
76	0.7227905074	0.4873261956
77	0.7234042553	0.4866742458
78	0.7237958892	0.4860151035
79	0.7243740419	0.485255056
80	0.7254161136	0.4844980809
81	0.7257323671	0.4838059925
82	0.7257521673	0.4830384457
83	0.7261042538	0.4824797208
84	0.7262341901	0.481996915
85	0.7275876121	0.4814266295
86	0.7278094463	0.4809059768
87	0.7282719316	0.4804081753
88	0.7284013432	0.4798380323
89	0.7286427044	0.4791275196
90	0.7281790437	0.4787620441
91	0.729397419	0.477947174
92	0.7297297297	0.477311787
93	0.7292873844	0.4769518007
94	0.7299329405	0.4766113783
95	0.7303039545	0.475999575
96	0.7306363082	0.4754620761
97	0.7305973182	0.4748519118
98	0.7306872399	0.4744122744
99	0.7303359383	0.4739066482
100	0.7314401623	0.4734324006
101	0.7318260164	0.4730590842
102	0.7328197851	0.472519564
103	0.7323943662	0.4719589352
104	0.7323201621	0.471616066
105	0.7327455154	0.4709955459
106	0.7331105034	0.4703120307
107	0.7333468313	0.4699529879
108	0.7337110482	0.4695716881
109	0.7337110482	0.468910426
110	0.734479272	0.4685911335
111	0.7347145023	0.4680225951
112	0.7353743559	0.4671935899
113	0.7360662359	0.4667730794
114	0.7362570736	0.4663462853
115	0.7366720517	0.4658684209
116	0.736980218	0.4655321171
117	0.7373309106	0.465119853
118	0.7377446036	0.4645787204
119	0.7380952381	0.4641299692
120	0.7383498084	0.4634028735
121	0.7384863449	0.4630190111
122	0.738083241	0.4624017932
123	0.7379560572	0.4621050245
124	0.7386787695	0.4617330758
125	0.7389023406	0.4610781117
126	0.7389857849	0.4607444835
127	0.7395465995	0.4602946155
128	0.7397260274	0.4598769248
129	0.7404049562	0.4594063404
130	0.7405318292	0.4589054909
131	0.7410390656	0.4585953506
132	0.7403826788	0.4582484394
133	0.7415232921	0.4578009921
134	0.7424836601	0.4572549834
135	0.7422079228	0.4568726107
136	0.7422307151	0.4564787257
137	0.7421788552	0.4561113161
138	0.7423800422	0.4554775437
139	0.7422763409	0.4552698976
140	0.741896517	0.4549732901
141	0.741821842	0.4547095258
142	0.7425294295	0.4543912522
143	0.7426559356	0.4538859802
144	0.7425812293	0.4536075469
145	0.7431100382	0.4531630888
146	0.7430583501	0.452679042
147	0.7432364478	0.4523675199
148	0.7435123718	0.4519986254
149	0.7439380219	0.4516883587
150	0.7437367944	0.4514235405
151	0.7442421804	0.4510332175
152	0.7448733414	0.4506863593
153	0.7451256281	0.45025421
154	0.7457048126	0.4496943809
155	0.7458308218	0.4494812831
156	0.7460827642	0.4491944971
157	0.7458308218	0.4488132534
158	0.7463826367	0.4485205662
159	0.7469104793	0.4482632694
160	0.7473388231	0.4480589334
161	0.74716223	0.4477526526
162	0.7475396666	0.4475263222
163	0.7474646049	0.4471579525
164	0.748067075	0.4467994333
165	0.748067075	0.4464893435
166	0.7484440875	0.4462658801
167	0.7488969114	0.4459063059
168	0.7495235229	0.4455244105
169	0.7501253887	0.4450687678
170	0.7503760907	0.4447167748
171	0.7499749273	0.4443862534
172	0.7503260106	0.444190377
173	0.750777254	0.4438110377
174	0.7507266713	0.4435126958
175	0.7512527561	0.4431647869
176	0.7509271324	0.4429644516
177	0.7511275935	0.4426866887
178	0.7513535191	0.4425762238
179	0.7521298988	0.4423106064
180	0.7519550832	0.4421544829
181	0.7522549609	0.4418241425
182	0.7522549609	0.4414198737
183	0.7522807018	0.4411974388
184	0.7525070197	0.4409087757
185	0.7526321067	0.4406907181
186	0.7526083467	0.4404190957
187	0.7525070197	0.4401807747
188	0.7523561259	0.4400239551
189	0.7531816815	0.439824766
190	0.7530567248	0.4394830979
191	0.7534315199	0.4392005039
192	0.7537799139	0.438943677
193	0.7538322813	0.4385786749
194	0.7545809552	0.4382276732
195	0.7542559583	0.4379975923
196	0.7545809552	0.437680734
197	0.7548793915	0.4374008298
198	0.7548303133	0.4372171949
199	0.7550530318	0.4369325266
200	0.7551551552	0.4365434967
201	0.7559291504	0.4362284336
202	0.756026808	0.4359961944
203	0.7562756276	0.4355165632
204	0.7568	0.4352891919
205	0.7567729681	0.4351536122
206	0.757	0.4348305452
207	0.7575727282	0.4346147554
208	0.7574970012	0.4344744656
209	0.7572213893	0.4341852809
210	0.7571728481	0.4339188536
211	0.7572970812	0.4337600394
212	0.7576696313	0.4334584742
213	0.7581660174	0.4331662676
214	0.7581934452	0.4329128792
215	0.7582208896	0.4324323954
216	0.7584898122	0.4322327984
217	0.7586413586	0.4320197501
218	0.7589651383	0.4316471811
219	0.759268512	0.43123124
220	0.759392486	0.4310556044
221	0.7598122441	0.4307982838
222	0.7601158957	0.4303647336
223	0.7602678125	0.429913351
224	0.7602958816	0.4297095048
225	0.7604958017	0.4295409058
226	0.7608673928	0.4291260495
227	0.7608195902	0.4290753022
228	0.760991207	0.4289339101
229	0.7611910472	0.4288322907
230	0.7615907274	0.4285104613
231	0.761961842	0.4281042293
232	0.7620854974	0.4278524588
233	0.762485018	0.427594114
234	0.762656016	0.4274531429
235	0.7629030648	0.427118343
236	0.7631316157	0.426936687
237	0.7634548178	0.4266035326
238	0.7634075702	0.4263753427
239	0.76445332	0.4261631235
240	0.7651462222	0.4259078493
241	0.7653458429	0.4256775765
242	0.7657792402	0.4253439946
243	0.7655626496	0.4253275043
244	0.7658852868	0.425040158
245	0.7662078596	0.4249204045
246	0.7660253215	0.4246804404
247	0.7660719625	0.4245234344
248	0.7662544874	0.424055853
249	0.7665004985	0.4239305663
250	0.7662415305	0.4236141438
251	0.7662415305	0.4233051375
252	0.7664706469	0.4230712212
253	0.7663476874	0.4229019171
254	0.7670086662	0.4226281818
255	0.7672542575	0.4221843761
256	0.7675460428	0.4217822943
257	0.7675923161	0.4216828473
258	0.7675923161	0.4215211275
259	0.7680827778	0.4211808951
260	0.7681130573	0.4209432692
261	0.7681130573	0.4207509589
262	0.7682659765	0.4203655561
263	0.7685719976	0.4202099677
264	0.7684954695	0.420094336
265	0.7682501743	0.4199718308
266	0.7685719976	0.4197704217
267	0.7684336389	0.4193971919
268	0.76812749	0.4191824752
269	0.7686180804	0.4189211499
270	0.768740667	0.4187254685
271	0.7688172043	0.4186369684
272	0.7685111465	0.4184527978
273	0.768740667	0.4183482148
274	0.7688632291	0.4182244465
275	0.7688632291	0.4179458184
276	0.7695522388	0.4177625455
277	0.7693838957	0.4174895191
278	0.7695522388	0.4173190926
279	0.7695980899	0.4171720624
280	0.769919427	0.4170032513
281	0.7699343806	0.4167749534
282	0.7703777336	0.4163820464
283	0.7697048007	0.4161877099
284	0.7701023755	0.415900162
285	0.7701023755	0.4156744668
286	0.7705765408	0.4154723945
287	0.7706531464	0.4153410647
288	0.7709741551	0.4151272127
289	0.7715080469	0.4148803083
290	0.7717520858	0.4148052132
291	0.7718740689	0.4144254839
292	0.7723932473	0.4142574131
293	0.7726685868	0.4139141998
294	0.7726821521	0.4136403892
295	0.7729890765	0.4133791762
296	0.7728355838	0.4131974592
297	0.7733995037	0.412998923
298	0.7730024814	0.4127471401
299	0.7734762756	0.4124084271
300	0.7737066826	0.4121537309
301	0.7737965261	0.4120141537
302	0.7740270056	0.4117865441
303	0.7743024526	0.4115514708
304	0.7748087812	0.4111130045
305	0.7749304728	0.410913921
306	0.7747640338	0.4106705899
307	0.7749304728	0.4105402602
308	0.774885754	0.4104772913
309	0.7752954026	0.4102715006
310	0.7753723932	0.4101687044
311	0.7754939927	0.4099767036
312	0.775737119	0.4097564264
313	0.7760127085	0.4095014777
314	0.7766855327	0.4092407062
315	0.7767741935	0.4091109948
316	0.7772925764	0.4088351315
317	0.7775352252	0.4086001304
318	0.7774580812	0.4083709655
319	0.7771825397	0.4081142159
320	0.7780533783	0.4078637348
321	0.7782077999	0.4075983427
322	0.7778880508	0.4074295317
323	0.7779321294	0.4073027824
324	0.7782625942	0.4071543261
325	0.7785048582	0.4069011347
326	0.7786259542	0.4067112932
327	0.7788242292	0.4064563631
328	0.7793417922	0.406291873
329	0.7794190542	0.406133582
330	0.7798055941	0.4056899129
331	0.7798929209	0.405452281
332	0.7803668815	0.4052803675
333	0.7804104293	0.4048464287
334	0.7798692292	0.4045902251
